DEPTH_MD,CALI,RSHA,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,SP,BS,ROP,DRHO,FACIES
734.4191995,12.78738117,,1.407795429,1.472683549,,118.9929886,,,154.4048157,,9.875,26.911829,,1
734.5711995,12.79098702,,1.394809961,1.464090824,,124.5143051,,,154.9747009,,9.875,26.13352966,,1
734.7231995,12.80133057,,1.377496481,1.434632421,,126.7798538,,,155.76297,,9.875,27.4826355,,1
734.8751995,12.62839603,,1.369217515,1.419665337,,127.1860657,,,156.1878967,,9.875,28.69452286,,1
735.0271995,12.52849197,,1.373198152,1.427741885,,125.1847076,,,157.0389862,,9.875,28.9816761,,1
735.1791995,12.68547821,,1.37839973,1.435621142,,120.6186142,,,157.8714905,,9.875,30.63164711,,1
735.3311995,12.73761559,,1.38286376,1.44263339,,119.2764359,,,157.9761047,,9.875,32.38362885,,1
735.4831995,12.68680382,,1.398824573,1.464694381,,120.4379959,,,157.5820618,,9.875,30.23305321,,1
735.6351995,12.71232319,,1.428771973,1.496494293,,117.7898483,,,157.2304077,,9.875,30.61336136,,1
735.7871995,12.69190693,,1.454351783,1.515529633,,113.3744812,,,156.3724213,,9.875,29.66836166,,1
735.9391995,12.63176632,,1.445251584,1.505212069,,112.287384,,,155.978775,,9.875,27.89811325,,1
736.0911995,12.75920487,,1.488052249,1.554855228,,112.4556427,,,154.6949768,,9.875,28.30390739,,1
736.2431995,12.69546318,,1.563325286,1.632084727,,111.1901779,,,152.3946228,,9.875,29.03260613,,1
736.3951995,12.71655941,,1.57889843,1.645926952,,109.6768875,,,151.469101,,9.875,28.77607346,,1
736.5471995,12.69258022,,1.534975052,1.592176795,,109.6614456,,,148.7470245,,9.875,28.37860298,,1
736.6991995,12.70782757,,1.476795554,1.528930783,,109.8116913,,,145.3762665,,9.875,26.84959602,,1
736.8511995,12.75988483,,1.446517825,1.495904207,,107.9334106,,,143.4409943,,9.875,26.37617683,,1
737.0031995,12.6510706,,1.440538764,1.487782121,,106.40802,,,143.7712555,,9.875,27.2980423,,1
737.1551995,12.68706131,,1.439381123,1.486575007,,106.8045654,,,144.1925659,,9.875,27.17432594,,1
737.3071995,12.68416309,,1.455110431,1.504209876,,108.6779862,,,144.3711243,,9.875,28.18922043,,1
737.4591995,12.80713558,,1.454455972,1.508426905,,112.1770248,,,144.7968903,,9.875,29.3837738,,1
737.6111995,12.78827286,,1.448268175,1.505405545,,115.0436707,,,150.2727051,,9.875,28.67028046,,1
737.7631995,12.77796555,,1.445210934,1.500069976,,116.103859,,,153.8137817,,9.875,28.41923523,,1
737.9151995,12.71770763,,1.409626842,1.458039999,,115.4258575,,,153.391037,,9.875,28.19997978,,1
738.0671995,12.81725216,,1.337065339,1.381036401,,112.6032333,,,152.1445313,,9.875,27.72160912,,1
738.2191995,12.81392002,,1.33965075,1.375380874,,110.6996079,,,151.8554077,,9.875,28.1164875,,1
738.3711995,12.84252262,,1.403415918,1.445684791,,113.1547318,,,153.3824616,,9.875,27.53747559,,1
738.5231995,12.88943005,,1.428198457,1.488613963,,117.8712006,,,153.0908508,,9.875,28.10065842,,1
738.6751995,12.79876995,,1.436379314,1.501071453,,119.1222305,,,151.8595581,,9.875,28.44479179,,1
738.8271995,12.73582172,,1.442164421,1.504010201,,113.8166428,,,146.3512421,,9.875,27.83470917,,1
738.9791995,12.71404553,,1.44056344,1.497290731,,105.9591217,,,141.1829071,,9.875,28.77357292,,1
739.1311995,12.66322327,,1.434858084,1.48410511,,103.2900391,,,144.1616211,,9.875,28.04345703,,1
739.2831995,12.66906643,,1.446472883,1.511172533,,106.0043564,,,146.7727509,,9.875,26.75406075,,1
739.4351995,12.72373962,,1.415758967,1.51809907,,107.9506073,,,141.3782806,,9.875,26.58371925,,1
739.5871995,12.74249935,,1.466501832,1.542268753,,109.1887207,,,145.5671539,,9.875,26.95691299,,1
739.7391995,12.81179047,,1.491906524,1.54737246,,111.3874512,,,157.883194,,9.875,26.52763367,,1
739.8911995,12.83302689,,1.457480311,1.513466001,,112.5158157,,,160.4778748,,9.875,25.82872963,,1
740.0431995,12.83659649,,1.419686675,1.471649766,,112.8499908,,,162.0059204,,9.875,25.14526367,,1
740.1951995,12.78031254,,1.375150561,1.427981973,,113.9057236,,,157.5732117,,9.875,25.46150971,,1
740.3471995,12.77492142,,1.390112042,1.456891656,,116.0463181,,,151.6784058,,9.875,24.66190147,,1
740.4991995,12.83151245,,1.419679284,1.496733904,,118.1543732,,,149.1420441,,9.875,23.31639862,,1
740.6511995,12.82279301,,1.43599534,1.513401985,,117.6828537,,,147.6147461,,9.875,23.42935944,,1
740.8031995,12.80363369,,1.450085282,1.523742676,,115.7444077,,,146.0012512,,9.875,23.68995857,,1
740.9551995,12.7548275,,1.446607947,1.5078367,,115.2357559,,,146.4747772,,9.875,22.28980255,,1
741.1071995,12.72840118,,1.405398011,1.455853105,,115.662323,,,145.2448273,,9.875,20.74357224,,1
741.2591995,12.75382042,,1.386739254,1.435458899,,117.0990448,,,142.764328,,9.875,19.69402504,,1
741.4111995,12.81001568,,1.396661162,1.446543932,,120.0763779,,,145.2695465,,9.875,19.21111298,,1
741.5631995,12.78000355,,1.389826536,1.444071055,,122.4461289,,,149.5857544,,9.875,19.71294975,,1
741.7151995,12.74949074,,1.37932837,1.437583208,,122.4324722,,,152.5476837,,9.875,19.26780701,,1
741.8671995,12.74244595,,1.37425375,1.431916833,,120.8127747,,,152.3862305,,9.875,19.44419098,,1
742.0191995,12.69415665,,1.369139433,1.426483154,,118.7787933,,,151.3137512,,9.875,19.63947105,,1
742.1711995,12.79999733,,1.355326176,1.411062241,,118.1106873,,,149.9688568,,9.875,19.49017334,,1
742.3231995,12.81974411,,1.341965675,1.39714253,,120.5394974,,,147.1242981,,9.875,19.59429932,,1
742.4751995,12.80074883,,1.345156908,1.402454376,,123.3624497,,,147.4156647,,9.875,21.17389107,,1
742.6271995,12.71140766,,1.351759911,1.412249684,,122.0404129,,,150.5528412,,9.875,23.21377182,,1
742.7791995,12.6259594,,1.355191231,1.41577065,,118.4316788,,,152.2983246,,9.875,26.16720009,,1
742.9311995,12.67444611,,1.359169126,1.419915199,,118.0444794,,,150.7822113,,9.875,26.74868584,,1
743.0831995,12.7053051,,1.367268086,1.4296664,,121.3064652,,,148.4822235,,9.875,26.17122269,,1
743.2351995,12.60084724,,1.377637029,1.441429257,,125.017334,,,146.1890106,,9.875,27.09167862,,1
743.3871995,12.98284149,,1.382338882,1.445731878,,126.1275177,,,145.6907959,,9.875,27.60797119,,1
743.5391995,12.9634943,,1.375875592,1.432761431,,123.3253021,,,145.4022064,,9.875,28.52534294,,1
743.6911995,12.63925648,,1.369982719,1.421196103,,118.6926651,,,142.8251495,,9.875,30.2045517,,1
743.8431995,12.84152603,,1.395426393,1.45524168,,115.3163223,,,141.4511719,,9.875,33.01192474,,1
743.9951995,12.99504852,,1.456849456,1.529645085,,113.264679,,,149.0950775,,9.875,32.34988785,,1
744.1471995,13.05485058,,1.529283047,1.6120646,,111.4504166,,,159.8614197,,9.875,30.13421249,-0.003541315,1
744.2991995,13.73862076,,1.559776783,1.643475294,,111.1373291,,,164.9343567,,9.875,29.72268868,-0.007637226,1
744.4511995,14.31599903,,1.499316216,1.564257741,,112.3033447,,,163.1786041,,9.875,31.59467125,-0.011773069,1
744.6031995,14.33600712,,1.403654456,1.447876811,,113.3194199,,,160.6865082,,9.875,33.45370102,-0.01317264,1
744.7551995,14.28303337,,1.40744555,1.455219865,,114.6466141,,,159.6262207,,9.875,31.37660217,-0.007400481,1
744.9071995,14.18819428,,1.459329248,1.523798823,,115.4245758,,,161.9627075,,9.875,29.49679947,0.000375679,1
745.0591995,14.06545067,,1.452829003,1.531552434,,113.8635635,,,162.9305115,,9.875,30.18485832,0.001801518,1
745.2111995,13.92362404,,1.439921975,1.526559353,,112.4528351,,,164.1256409,,9.875,30.30198479,0.001840665,1
745.3631995,13.82888985,,1.448904991,1.530637026,,113.9026108,,,164.0141296,,9.875,28.17924118,-0.000910059,1
745.5151995,13.77647781,,1.432449818,1.508754492,,116.7024994,,,163.3795471,,9.875,27.5511303,-0.007312675,1
745.6671995,13.7240181,,1.394641042,1.467729569,,119.7657242,,,166.3217316,,9.875,28.65582848,-0.015500863,1
745.8191995,13.67155743,,1.392738223,1.458283544,,122.3802185,,,165.7442017,,9.875,28.42834854,-0.020241532,1
745.9711995,13.60977554,,1.365431666,1.432374239,,121.9348297,,,162.2638855,,9.875,27.6409111,-0.018038042,1
746.1231995,13.30745983,,1.331617117,1.399005055,,119.6992264,,,160.2863159,,9.875,27.36392784,-0.011036905,1
746.2751995,13.08921146,,1.342688322,1.404390335,,119.1025085,,,157.145462,,9.875,29.12278748,-0.005251018,1
746.4271995,13.30798245,,1.347642183,1.409138084,,120.1310806,,,152.2229004,,9.875,31.40199661,-0.004949589,1
746.5791995,13.40663147,,1.36389029,1.425397039,,121.0263596,,,150.0683136,,9.875,31.16217423,-0.00677564,1
746.7311995,13.21612549,,1.425616145,1.492552161,,119.6238098,,,151.7410431,,9.875,30.14899445,-0.00467538,1
746.8831995,13.22028446,,1.483353615,1.551330328,,115.7990646,,,156.9017181,,9.875,30.39145088,0.001107725,1
747.0351995,13.60669708,,1.479047895,1.541065574,,112.8325577,,,160.6623688,,9.875,30.99254417,0.006830651,1
747.1871995,14.13818264,,1.451962113,1.511769533,,113.1714172,,,164.2256012,,9.875,30.919981,0.011193044,1
747.3391995,14.20868492,,1.438403606,1.49487114,,114.8953018,,,166.9572907,,9.875,30.09579277,0.015001094,1
747.4911995,13.91947842,,1.437000036,1.491700053,,115.8167038,,,161.9147644,,9.875,30.04781151,0.017753525,1
747.6431995,13.70867539,,1.398806691,1.451796413,,115.6619797,,,153.4021759,,9.875,29.59609032,0.012272126,1
747.7951995,13.44866467,,1.375306487,1.433444977,,113.1845703,,,147.8496552,,9.875,29.39912987,0.004104343,1
747.9471995,13.22696018,,1.410714626,1.477889061,,109.1625671,,,143.6712494,,9.875,29.6552906,-0.001913785,1
748.0991995,13.3218689,,1.413321257,1.479812861,,106.5015106,,,137.8068543,,9.875,28.31590462,-0.004953904,1
748.2511995,13.42524624,,1.39699626,1.462635994,,106.5549316,,,136.1673279,,9.875,27.6557045,-0.007789882,1
748.4031995,13.27157784,,1.397685289,1.462815046,,107.654335,,,139.5474396,,9.875,27.62499809,-0.010846467,1
748.5551995,13.20003796,,1.40416646,1.462634563,,105.9451523,,,139.7216492,,9.875,27.47169304,-0.013206871,1
748.7071995,13.0885706,,1.427792788,1.486596346,,102.1377029,,,140.8345642,,9.875,27.2117424,-0.01427839,1
748.8591995,13.0404501,,1.456496835,1.524537206,,101.5968018,,,143.7982636,,9.875,28.36955261,-0.012029376,1
749.0111995,13.10735798,,1.458723187,1.529746413,,105.8636093,,,144.4255524,,9.875,27.75451279,-0.009823292,1
749.1631995,13.3175745,,1.428534627,1.487074137,,110.3712311,,,145.2362366,,9.875,26.44104767,-0.01101817,1
749.3151995,13.36117458,,1.341144681,1.381464481,,110.0197449,,,150.3721466,,9.875,26.41916275,-0.01443661,1
749.4671995,13.19042873,,1.243145585,1.280508637,,107.0105057,,,154.6939545,,9.875,25.32273674,-0.015821785,1
749.6191995,13.03372002,,1.255590081,1.302036047,,107.0121002,,,151.2944641,,9.875,25.46677399,-0.007722621,1
749.7711995,12.84920406,,1.327483416,1.38585794,,108.424881,,,147.035553,,9.875,26.17256737,0.003469736,1
749.9231995,12.63379383,,1.353071213,1.419299483,,108.0877533,,,148.1476898,,9.875,27.10210419,0.005027645,1
750.0751995,12.53769398,,1.340042591,1.407811999,,106.7144699,,,147.8654022,,9.875,27.11373329,0.00406515,1
750.2271995,12.6636467,,1.303126574,1.362064362,,104.6089172,,,144.9728851,,9.875,27.14119339,0.006692576,1
750.3791995,12.56530857,,1.271102548,1.319326282,,104.5695725,,,142.5473633,,9.875,26.43227577,0.02366389,1
750.5311995,12.43885803,,1.241845965,1.28557837,,108.5100403,,,142.022583,,9.875,27.55404282,0.029987851,1
750.6831995,12.72096729,,1.082999349,1.230981588,,110.9890442,,,140.0766296,,9.875,28.99862862,0.014038461,1
750.8351995,12.57458019,,0.882250726,1.160772562,,109.3482819,,,141.4427795,,9.875,27.43199921,0.002010532,1
750.9871995,12.25426197,,0.871654093,1.127354741,,107.1828308,,,145.3859558,,9.875,27.60635567,0.001394798,1
751.1391995,12.24286556,,0.911470294,1.157650948,,105.8732681,,,146.9460144,,9.875,27.96736717,0.004006694,1
751.2911995,12.44758892,,0.936682582,1.167897463,,104.9966049,,,149.2286987,,9.875,27.95849991,0.001188077,1
751.4431995,12.66144657,,0.890155554,1.072249651,,104.5008621,,,151.1526642,,9.875,27.37540245,0.012830168,1
751.5951995,12.89839935,,0.812845528,0.946170628,,104.6438751,,,152.8626556,,9.875,27.73129654,0.030000046,1
751.7471995,13.25316811,,0.803192973,0.892948985,,108.2138519,,,153.0332336,,9.875,28.79969788,0.033297934,1
751.8991995,13.41767216,,0.8385607,0.904178977,,115.4151993,,,152.4987946,,9.875,28.9452877,0.027339198,1
752.0511995,13.28870106,,0.910065234,0.976919472,,117.9238586,,,152.3115082,,9.875,29.68969154,0.015430272,1
752.2031995,13.07080841,,0.999163032,1.064129829,,116.3881683,,,153.5656586,,9.875,31.43821144,0.010833862,1
752.3551995,13.23676968,,1.120115519,1.173426271,,116.3879166,,,154.4993744,,9.875,32.82115173,0.01286247,1
