DEPTH_MD,CALI,RSHA,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,SP,BS,ROP,DRHO,FACIES
684.2703961,13.04257298,,1.414800048,1.41929996,,88.93746185,0.45540753,,159.805603,,9.875,39.32092285,,1
684.4223961,13.33386898,,1.392073512,1.398481011,,87.80070496,0.450692982,,158.9003601,,9.875,33.08672333,,1
684.5743961,13.42606449,,1.43546617,1.449827313,,86.46001434,0.45043242,,156.9825897,,9.875,28.410923,,1
684.7263961,13.32074833,,1.458956242,1.479819059,,85.66281128,0.461262554,,155.2782593,,9.875,19.69022751,,1
684.8783961,13.15678406,,1.394102812,1.403053284,,86.04341126,0.464722812,,155.0960388,,9.875,15.12201119,,1
685.0303961,13.10970974,,1.259037018,1.256834507,,87.05804443,0.470128804,,154.3498383,,9.875,15.08856869,,1
685.1823961,13.28334713,,1.200099945,1.19599998,,87.89107513,0.465911418,,153.0014648,,9.875,15.08296394,,1
685.3343961,13.46401215,,1.273886085,1.28132689,,89.10523987,0.457741201,,151.2363739,,9.875,15.2058363,,1
685.4863961,13.52441883,,1.430870295,1.454310417,,92.26199341,0.449808419,,149.6642914,,9.875,15.25859642,,1
685.6383961,13.52314949,,1.509179235,1.536504507,,96.22073364,0.45259884,,148.5252075,,9.875,15.9078331,,1
685.7903961,13.69432449,,1.515200019,1.541599989,,98.35429382,0.461530238,,149.230835,,9.875,16.08285904,,1
685.9423961,14.02203083,,1.528398156,1.545470834,,97.89723206,0.478903145,,150.7068481,,9.875,17.4052887,,1
686.0943961,14.2540617,,1.521171212,1.527772784,,96.48342133,0.479096293,,151.0766144,,9.875,18.37174797,,1
686.2463961,14.03922272,,1.49796927,1.506289721,,92.48159027,0.463821471,,150.8722076,,9.875,33.05572128,,1
686.3983961,13.59209919,,1.489400029,1.500699997,,89.61130524,0.455175757,,150.0832825,,9.875,36.70742035,,1
686.5503961,13.33650971,,1.488132954,1.49423933,,91.31008148,0.453599989,,149.2779999,,9.875,31.36252594,,1
686.7023961,13.50375271,,1.487300038,1.49000001,,93.96694183,0.461049229,,149.4675293,,9.875,30.26107788,0.023404006,1
686.8543961,13.58831692,,1.487300038,1.49000001,,96.26596832,0.460557401,,151.7521362,,9.875,32.83782196,0.023722721,1
687.0063961,13.23886395,,1.475510478,1.482671261,,100.2976227,0.451183856,,153.4587097,,9.875,33.14321137,0.00399294,1
687.1583961,12.94852734,,1.464832544,1.481377721,,104.9107971,0.447181433,,154.4942474,,9.875,31.08340073,-0.026932567,1
687.3103961,13.6447134,,1.345979214,1.358237267,,107.4018707,0.447926164,,155.3247528,,9.875,32.30910111,-0.051582828,1
687.4623961,14.05146313,,1.264700055,1.271100044,,107.1975479,0.461659193,,154.9835358,,9.875,31.15851212,-0.061511438,1
687.6143961,13.83098221,,1.188382506,1.191398621,,105.9713593,0.473648608,,154.1543732,,9.875,33.02135086,-0.061211661,1
687.7663961,13.82188511,,1.17209816,1.183385134,,103.7759171,0.48398301,,155.5904236,,9.875,35.31471252,-0.060999546,1
